Time,Run,Score,Model,RCP,Prescription
0,run1,800490033.2,BNU-ESM_RCP45,RCP45,Resilience
0,run2,800490033.2,BNU-ESM_RCP45,RCP45,Resilience
0,run3,800490033.2,BNU-ESM_RCP45,RCP45,Resilience
0,run4,800490033.2,BNU-ESM_RCP45,RCP45,Resilience
0,run5,800490033.2,BNU-ESM_RCP45,RCP45,Resilience
10,run1,876808773,BNU-ESM_RCP45,RCP45,Resilience
10,run2,876901297.5,BNU-ESM_RCP45,RCP45,Resilience
10,run3,876742102.8,BNU-ESM_RCP45,RCP45,Resilience
10,run4,876841189.5,BNU-ESM_RCP45,RCP45,Resilience
10,run5,876746638.5,BNU-ESM_RCP45,RCP45,Resilience
20,run1,965441885.4,BNU-ESM_RCP45,RCP45,Resilience
20,run2,963457187.2,BNU-ESM_RCP45,RCP45,Resilience
20,run3,963324279.5,BNU-ESM_RCP45,RCP45,Resilience
20,run4,965591753.2,BNU-ESM_RCP45,RCP45,Resilience
20,run5,965189686.5,BNU-ESM_RCP45,RCP45,Resilience
30,run1,1077409545,BNU-ESM_RCP45,RCP45,Resilience
30,run2,1076084736,BNU-ESM_RCP45,RCP45,Resilience
30,run3,1074520553,BNU-ESM_RCP45,RCP45,Resilience
30,run4,1078366470,BNU-ESM_RCP45,RCP45,Resilience
30,run5,1078349680,BNU-ESM_RCP45,RCP45,Resilience
40,run1,1024528133,BNU-ESM_RCP45,RCP45,Resilience
40,run2,1020358002,BNU-ESM_RCP45,RCP45,Resilience
40,run3,1018405119,BNU-ESM_RCP45,RCP45,Resilience
40,run4,1025599928,BNU-ESM_RCP45,RCP45,Resilience
40,run5,1024836365,BNU-ESM_RCP45,RCP45,Resilience
50,run1,1025444666,BNU-ESM_RCP45,RCP45,Resilience
50,run2,1019131704,BNU-ESM_RCP45,RCP45,Resilience
50,run3,1018148453,BNU-ESM_RCP45,RCP45,Resilience
50,run4,1024808916,BNU-ESM_RCP45,RCP45,Resilience
50,run5,1026540823,BNU-ESM_RCP45,RCP45,Resilience
60,run1,1110160924,BNU-ESM_RCP45,RCP45,Resilience
60,run2,1102816005,BNU-ESM_RCP45,RCP45,Resilience
60,run3,1102043233,BNU-ESM_RCP45,RCP45,Resilience
60,run4,1108691397,BNU-ESM_RCP45,RCP45,Resilience
60,run5,1110516830,BNU-ESM_RCP45,RCP45,Resilience
70,run1,1287722328,BNU-ESM_RCP45,RCP45,Resilience
70,run2,1279140264,BNU-ESM_RCP45,RCP45,Resilience
70,run3,1279260615,BNU-ESM_RCP45,RCP45,Resilience
70,run4,1284358305,BNU-ESM_RCP45,RCP45,Resilience
70,run5,1286532653,BNU-ESM_RCP45,RCP45,Resilience
80,run1,1228239836,BNU-ESM_RCP45,RCP45,Resilience
80,run2,1216966050,BNU-ESM_RCP45,RCP45,Resilience
80,run3,1217700496,BNU-ESM_RCP45,RCP45,Resilience
80,run4,1225604617,BNU-ESM_RCP45,RCP45,Resilience
80,run5,1225390053,BNU-ESM_RCP45,RCP45,Resilience
