Time,Run,Score,Model,RCP,Prescription
0,run1,1129923770,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
0,run2,1129923770,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
0,run3,1129923770,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
0,run4,1129923770,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
0,run5,1129923770,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
10,run1,1229915682,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
10,run2,1229605160,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
10,run3,1229848669,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
10,run4,1229862674,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
10,run5,1229836160,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
20,run1,1613527286,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
20,run2,1613346087,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
20,run3,1613544867,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
20,run4,1613498669,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
20,run5,1611080329,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
30,run1,1778811557,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
30,run2,1778722785,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
30,run3,1778497502,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
30,run4,1778823130,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
30,run5,1777834146,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
40,run1,1674503172,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
40,run2,1675291878,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
40,run3,1673434288,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
40,run4,1677257137,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
40,run5,1670347662,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
50,run1,1757853841,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
50,run2,1758095725,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
50,run3,1761259664,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
50,run4,1757980284,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
50,run5,1753886803,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
60,run1,1969169484,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
60,run2,1967825548,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
60,run3,1970335440,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
60,run4,1966112555,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
60,run5,1970726966,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
70,run1,2054648561,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
70,run2,2056779748,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
70,run3,2056983483,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
70,run4,2052363606,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
70,run5,2062053634,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
80,run1,1806845950,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
80,run2,1810472805,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
80,run3,1809069971,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
80,run4,1808731416,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
80,run5,1813620824,MIROC-ESM-CHEM_RCP85,RCP85,Resilience
