Time,Run,Score
0,run1,1129923770.22222
0,run2,1129923770.22222
0,run3,1129923770.22222
0,run4,1129923770.22222
0,run5,1129923770.22222
10,run1,987814801.777778
10,run2,989236802.666667
10,run3,988727989.833333
10,run4,988636881.777778
10,run5,987166035.166667
20,run1,1104134287.83333
20,run2,1106420138.38889
20,run3,1103475672
20,run4,1102743914.72222
20,run5,1103851764.72222
30,run1,1388536870.61111
30,run2,1390018545.33333
30,run3,1387598638.83333
30,run4,1388528341.05556
30,run5,1384087229.5
40,run1,1545898749.77778
40,run2,1542787474.97778
40,run3,1542762194.16667
40,run4,1540468997.88333
40,run5,1538609632.83889
50,run1,1791477867.08889
50,run2,1790147344.35556
50,run3,1785998596.86667
50,run4,1787557450.94444
50,run5,1785895939.53333
60,run1,2247141826.64444
60,run2,2247105026.96667
60,run3,2243530796.98333
60,run4,2243352646.38889
60,run5,2242855007.25556
70,run1,2769933626.38889
70,run2,2769425167.45
70,run3,2768684519.15
70,run4,2767306703.72778
70,run5,2768356242.84444
80,run1,3254766393.61111
80,run2,3256375938.2
80,run3,3253858120.63333
80,run4,3251538255.78889
80,run5,3252587197.47778
