Time,Run,H,Model,RCP,Prescription
0,run1,787044.0974,BNU-ESM_RCP45,RCP45,Resilience
0,run2,787044.0974,BNU-ESM_RCP45,RCP45,Resilience
0,run3,787044.0974,BNU-ESM_RCP45,RCP45,Resilience
0,run4,787044.0974,BNU-ESM_RCP45,RCP45,Resilience
0,run5,787044.0974,BNU-ESM_RCP45,RCP45,Resilience
10,run1,794617.8528,BNU-ESM_RCP45,RCP45,Resilience
10,run2,794695.4101,BNU-ESM_RCP45,RCP45,Resilience
10,run3,794648.4652,BNU-ESM_RCP45,RCP45,Resilience
10,run4,794677.1763,BNU-ESM_RCP45,RCP45,Resilience
10,run5,794672.5772,BNU-ESM_RCP45,RCP45,Resilience
20,run1,775233.5118,BNU-ESM_RCP45,RCP45,Resilience
20,run2,774728.3406,BNU-ESM_RCP45,RCP45,Resilience
20,run3,774693.5365,BNU-ESM_RCP45,RCP45,Resilience
20,run4,775298.2126,BNU-ESM_RCP45,RCP45,Resilience
20,run5,775296.9061,BNU-ESM_RCP45,RCP45,Resilience
30,run1,758626.8078,BNU-ESM_RCP45,RCP45,Resilience
30,run2,758606.1749,BNU-ESM_RCP45,RCP45,Resilience
30,run3,758055.2762,BNU-ESM_RCP45,RCP45,Resilience
30,run4,758927.7964,BNU-ESM_RCP45,RCP45,Resilience
30,run5,758933.6738,BNU-ESM_RCP45,RCP45,Resilience
40,run1,715828.685,BNU-ESM_RCP45,RCP45,Resilience
40,run2,715197.8149,BNU-ESM_RCP45,RCP45,Resilience
40,run3,714880.3278,BNU-ESM_RCP45,RCP45,Resilience
40,run4,716082.9041,BNU-ESM_RCP45,RCP45,Resilience
40,run5,715851.3399,BNU-ESM_RCP45,RCP45,Resilience
50,run1,724091.1196,BNU-ESM_RCP45,RCP45,Resilience
50,run2,723038.3821,BNU-ESM_RCP45,RCP45,Resilience
50,run3,722843.1182,BNU-ESM_RCP45,RCP45,Resilience
50,run4,723985.4854,BNU-ESM_RCP45,RCP45,Resilience
50,run5,724034.5931,BNU-ESM_RCP45,RCP45,Resilience
60,run1,727989.5742,BNU-ESM_RCP45,RCP45,Resilience
60,run2,727245.0572,BNU-ESM_RCP45,RCP45,Resilience
60,run3,726949.3772,BNU-ESM_RCP45,RCP45,Resilience
60,run4,727630.9761,BNU-ESM_RCP45,RCP45,Resilience
60,run5,727759.8269,BNU-ESM_RCP45,RCP45,Resilience
70,run1,732672.6598,BNU-ESM_RCP45,RCP45,Resilience
70,run2,732174.0383,BNU-ESM_RCP45,RCP45,Resilience
70,run3,732273.9821,BNU-ESM_RCP45,RCP45,Resilience
70,run4,732160.6385,BNU-ESM_RCP45,RCP45,Resilience
70,run5,732223.1617,BNU-ESM_RCP45,RCP45,Resilience
80,run1,716297.3381,BNU-ESM_RCP45,RCP45,Resilience
80,run2,715788.4082,BNU-ESM_RCP45,RCP45,Resilience
80,run3,715984.1993,BNU-ESM_RCP45,RCP45,Resilience
80,run4,716137.444,BNU-ESM_RCP45,RCP45,Resilience
80,run5,715890.498,BNU-ESM_RCP45,RCP45,Resilience
