Run,Time,H,Model,RCP,Prescription
run1,0,1.707320638,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run1,10,1.681840357,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run1,20,1.657650235,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run1,30,1.609762135,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run1,40,1.576446906,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run1,50,1.601214139,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run1,60,1.586561357,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run1,70,1.605648271,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run1,80,1.637702983,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run2,0,1.707320638,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run2,10,1.681700421,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run2,20,1.657255299,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run2,30,1.60926904,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run2,40,1.574938255,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run2,50,1.600444381,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run2,60,1.586729965,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run2,70,1.605382568,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run2,80,1.637218046,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run3,0,1.707320638,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run3,10,1.682709307,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run3,20,1.657988803,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run3,30,1.609888113,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run3,40,1.575825392,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run3,50,1.601982897,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run3,60,1.58878033,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run3,70,1.607354905,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run3,80,1.639617362,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run4,0,1.707320638,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run4,10,1.680115944,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run4,20,1.65632691,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run4,30,1.609629196,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run4,40,1.57413978,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run4,50,1.600768891,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run4,60,1.587300181,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run4,70,1.605500574,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run4,80,1.637919366,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run5,0,1.707320638,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run5,10,1.680809113,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run5,20,1.657153203,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run5,30,1.609062507,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run5,40,1.574910591,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run5,50,1.601973512,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run5,60,1.587703925,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run5,70,1.604771828,MIROC-ESM-CHEM_RCP85,RCP85,Transition
run5,80,1.636872885,MIROC-ESM-CHEM_RCP85,RCP85,Transition
