Run,Time,H,Model,RCP,Prescription
run1,0,1.707320638,CCSM4_RCP85,RCP85,Transition
run1,10,1.676015189,CCSM4_RCP85,RCP85,Transition
run1,20,1.659268362,CCSM4_RCP85,RCP85,Transition
run1,30,1.642101707,CCSM4_RCP85,RCP85,Transition
run1,40,1.603271568,CCSM4_RCP85,RCP85,Transition
run1,50,1.637645725,CCSM4_RCP85,RCP85,Transition
run1,60,1.654146181,CCSM4_RCP85,RCP85,Transition
run1,70,1.681593991,CCSM4_RCP85,RCP85,Transition
run1,80,1.705358233,CCSM4_RCP85,RCP85,Transition
run2,0,1.707320638,CCSM4_RCP85,RCP85,Transition
run2,10,1.675699868,CCSM4_RCP85,RCP85,Transition
run2,20,1.658651608,CCSM4_RCP85,RCP85,Transition
run2,30,1.641371529,CCSM4_RCP85,RCP85,Transition
run2,40,1.603119175,CCSM4_RCP85,RCP85,Transition
run2,50,1.637664081,CCSM4_RCP85,RCP85,Transition
run2,60,1.654957187,CCSM4_RCP85,RCP85,Transition
run2,70,1.683286105,CCSM4_RCP85,RCP85,Transition
run2,80,1.707136974,CCSM4_RCP85,RCP85,Transition
run3,0,1.707320638,CCSM4_RCP85,RCP85,Transition
run3,10,1.676217998,CCSM4_RCP85,RCP85,Transition
run3,20,1.660649299,CCSM4_RCP85,RCP85,Transition
run3,30,1.641958286,CCSM4_RCP85,RCP85,Transition
run3,40,1.603383773,CCSM4_RCP85,RCP85,Transition
run3,50,1.637999995,CCSM4_RCP85,RCP85,Transition
run3,60,1.652345555,CCSM4_RCP85,RCP85,Transition
run3,70,1.680123211,CCSM4_RCP85,RCP85,Transition
run3,80,1.704347872,CCSM4_RCP85,RCP85,Transition
run4,0,1.707320638,CCSM4_RCP85,RCP85,Transition
run4,10,1.675339264,CCSM4_RCP85,RCP85,Transition
run4,20,1.657893873,CCSM4_RCP85,RCP85,Transition
run4,30,1.641494018,CCSM4_RCP85,RCP85,Transition
run4,40,1.602764784,CCSM4_RCP85,RCP85,Transition
run4,50,1.635888165,CCSM4_RCP85,RCP85,Transition
run4,60,1.651334783,CCSM4_RCP85,RCP85,Transition
run4,70,1.680074865,CCSM4_RCP85,RCP85,Transition
run4,80,1.703845634,CCSM4_RCP85,RCP85,Transition
run5,0,1.707320638,CCSM4_RCP85,RCP85,Transition
run5,10,1.675796643,CCSM4_RCP85,RCP85,Transition
run5,20,1.658786863,CCSM4_RCP85,RCP85,Transition
run5,30,1.641510703,CCSM4_RCP85,RCP85,Transition
run5,40,1.602215478,CCSM4_RCP85,RCP85,Transition
run5,50,1.636169969,CCSM4_RCP85,RCP85,Transition
run5,60,1.650579779,CCSM4_RCP85,RCP85,Transition
run5,70,1.680823633,CCSM4_RCP85,RCP85,Transition
run5,80,1.705141448,CCSM4_RCP85,RCP85,Transition
