FunctionalGroupName,FunctionalGroupIndex,TemperatureCurve1,TemperatureCurve2,TemperatureCurve3,TemperatureCurve4,FractionANPPtoLeaf,LeafBiomassToLAI,KLAI,MaximumLAI,MoistureCurve2,MoistureCurve3,WoodDecayRate,MonthlyWoodMortality,LongevityMortalityShape,FoliageDropMonth,CoarseRootFraction,FineRootFraction,MinLAI,GrowthLAI
Conifer,1,27,45,2,3.5,0.35,-0.5,6000,7,0.5,0.8,0.5,0.003,15,10,0.005,0.005,0.1,0.1
Hardwood,2,28,45,1,2,0.25,-0.5,6000,7,1.1,0.7,0.5,0.003,15,10,0.005,0.005,0.1,0.1
Mesic Oaks,3,25,35,0.5,0.75,0.2,-0.5,5000,7,1,0.7,0.5,0.003,15,10,0.005,0.005,0.1,0.1
Xeric Oaks,4,25,35,0.5,1,0.2,-0.5,5000,7,0.9,0.8,0.5,0.003,15,10,0.005,0.005,0.1,0.1
Cypress Trees,5,25,35,1,1.6,0.35,-0.5,6000,7,0.5,0.8,0.5,0.003,15,10,0.005,0.005,0.1,0.1
White Oak,6,25,35,1,2.8,0.2,-0.5,5000,7,1,0.7,0.5,0.003,15,10,0.005,0.005,0.1,0.1
